|    | genre      |   num_soundtracks |
|----|------------|-------------------|
|  0 | Action     |                86 |
|  1 | Adventure  |                69 |
|  2 | Fighting   |                91 |
|  3 | Platform   |               103 |
|  4 | Puzzle     |                58 |
|  5 | RPG        |                97 |
|  6 | Racing     |                51 |
|  7 | Shooters   |                63 |
|  8 | Simulation |                44 |
|  9 | Sports     |                49 |
| 10 | Strategy   |                81 |
